arm,policy,alpha,costing,n_series,n_days,n_reviews,CSR,FR,avg_cost_per_series_day,avg_inventory,total_lost,S_median,n_violations
erm-linear-lean,P1,0.98,derived,1921,63,3,0.9715,0.9097,2.567547,117.78,14773.0,73.0,0
tft,P1,0.85,derived,1921,63,3,0.8598,0.8116,0.558709,41.51,30838.5,18.0,0
tft,P1,0.9,derived,1921,63,3,0.8808,0.8327,0.744179,44.67,27386.5,22.0,0
tft,P1,0.95,derived,1921,63,3,0.9061,0.8586,1.272711,52.15,23151.5,27.0,0
tft,P1,0.98,derived,1921,63,3,0.9269,0.8815,2.679705,61.55,19388.5,35.0,0
deepar,P1,0.85,derived,1921,63,3,0.6842,0.5011,0.900545,21.17,81666.1,0.0,0
deepar,P1,0.9,derived,1921,63,3,0.6842,0.5011,1.372215,21.17,81666.1,0.0,0
deepar,P1,0.95,derived,1921,63,3,0.6842,0.5011,2.787225,21.17,81666.1,0.0,0
deepar,P1,0.98,derived,1921,63,3,0.6842,0.5011,7.032256,21.17,81666.1,0.0,0
gbdt-rich,P1,0.85,derived,1921,63,3,0.8582,0.7359,0.6135,34.01,43230.5,17.0,0
gbdt-rich,P1,0.9,derived,1921,63,3,0.8692,0.7503,0.86196,35.59,40868.5,18.0,0
gbdt-rich,P1,0.95,derived,1921,63,3,0.8848,0.7709,1.562685,38.68,37492.5,20.0,0
gbdt-rich,P1,0.98,derived,1921,63,3,0.9018,0.792,3.540756,44.47,34037.5,22.0,0
hybrid-tsfm-gbdt,P1,0.85,derived,1921,63,3,0.8586,0.8436,0.494956,38.48,25606.5,13.0,0
hybrid-tsfm-gbdt,P1,0.9,derived,1921,63,3,0.8839,0.866,0.663556,46.7,21936.0,15.0,0
hybrid-tsfm-gbdt,P1,0.95,derived,1921,63,3,0.9165,0.9024,1.03632,68.03,15969.0,19.0,0
hybrid-tsfm-gbdt,P1,0.98,derived,1921,63,3,0.9429,0.9323,1.917537,111.39,11080.0,24.0,0
hybrid-tsfm-linear,P1,0.85,derived,1921,63,3,0.8997,0.9,0.454743,55.26,16361.5,15.0,0
hybrid-tsfm-linear,P1,0.9,derived,1921,63,3,0.9301,0.933,0.54945,73.42,10965.5,20.0,0
hybrid-tsfm-linear,P1,0.95,derived,1921,63,3,0.9485,0.9465,0.813557,84.89,8764.0,26.0,0
hybrid-tsfm-linear,P1,0.98,derived,1921,63,3,0.9492,0.9584,1.383709,97.18,6812.0,27.0,0
