arm,policy,alpha,costing,n,CSR_ub,FR_ub,cost,hold,short_c,S_med,n_orders,avg_inv,lost_lb
chronos2-zs,P3,0.98,derived,3363,0.9283377936366339,0.8906704813660036,88.45134344038055,10.38342055406879,78.06792288631175,25.0,2076,39.15477847160274,17569.0
chronos2-ft-full-short,P3,0.98,derived,3363,0.9152542372881356,0.8810872689636838,90.15606152443247,8.83357748240658,81.3224840420259,21.0,1916,37.066613143027055,19109.0
chronos2-ft-full-h32,P3,0.98,derived,3363,0.9146595301813857,0.8799235931719736,91.02572477153329,8.607395725047082,82.4183290464862,21.0,1896,36.802265834076714,19296.0
emp-daily,P3,0.98,derived,3363,0.8953315492120131,0.8445714959917281,98.5015857339676,9.39532978689662,89.10625594707099,21.0,1910,37.5340529289325,24977.0
gbdt-lean,P3,0.98,derived,3363,0.8935474278917633,0.7947536019188329,118.9429445901476,10.662374843889385,108.2805697462582,28.0,2242,38.198878977103774,32982.619999999995
always-zero,P3,0.98,derived,3363,0.7133511745465358,0.5269349874870626,207.67922138665853,5.396222977500248,202.28299840915832,0.0,4,29.611416889681834,76020.45
chronos2-ft-full,P3m,,derived,3363,0.8941421349985132,0.8565442886294313,43.11335803548416,8.048312366934285,35.06504566854987,19.0,1741,35.64451977401129,23053.0
chronos2-zs,P3m,,derived,3363,0.8991971454058876,0.8593508008329678,43.58048901972442,8.934283746654772,34.646205273069654,21.0,1851,36.7145465358311,22602.0
chronos2-ft-full-short,P3m,,derived,3363,0.8855188819506393,0.8490581817982686,43.8039232550302,7.786745759738329,36.01717749529187,18.0,1698,35.0316741005055,24256.0
chronos2-ft-full-h32,P3m,,derived,3363,0.8855188819506393,0.8481683120751962,44.161852955694286,7.62329975418773,36.53855320150655,17.0,1669,34.80851025869759,24399.0
emp-daily,P3m,,derived,3363,0.8682723758548915,0.808149065997717,48.242447142432326,8.284876991773219,39.9575701506591,18.0,1715,35.49792447219744,30830.0
gbdt-lean,P3m,,derived,3363,0.871245911388641,0.7649896376848752,55.20275949747246,9.305913301615622,45.89684619585683,25.0,2028,36.09807612250966,37765.619999999995
always-zero,P3m,,derived,3363,0.7133511745465358,0.5269349874870626,83.83248766676572,5.396222977500248,78.43626468926547,0.0,4,29.611416889681834,76020.45
chronos2-ft-full,P1,0.85,margin,3363,0.8679750223015165,0.8424681675553748,39.62413593715928,7.301004804242244,32.323131132917034,15.0,1538,34.068248587570615,25315.0
chronos2-zs,P1,0.85,margin,3363,0.8768956289027654,0.8457600632442236,39.65037914758647,7.985399962335216,31.664979185251262,18.0,1632,34.85013975617008,24786.0
chronos2-ft-full-short,P1,0.85,margin,3363,0.8581623550401427,0.8339241736408392,40.35667835959956,7.093055106551691,33.26362325304787,15.0,1491,33.57226286054118,26688.0
chronos2-ft-full-h32,P1,0.85,margin,3363,0.8593517692536425,0.8338121620673056,40.73790350579839,6.991306717216771,33.74659678858162,14.0,1471,33.45733571216176,26706.0
emp-daily,P1,0.85,margin,3363,0.8415105560511448,0.7935377785167776,43.308421297452675,7.5516951600753295,35.75672613737734,16.0,1499,34.04817722271781,33178.0
gbdt-lean,P1,0.85,margin,3363,0.8513232233125186,0.7460545167795827,49.16340316681534,8.340516161165628,40.82288700564972,20.0,1782,34.42709782931906,40808.45
always-zero,P1,0.85,margin,3363,0.7133511745465358,0.5269349874870626,67.27452776489245,5.396222977500248,61.87830478739221,0.0,4,29.611416889681834,76020.45
chronos2-ft-full,P2,0.85,margin,3363,0.8703538507285162,0.8506890967196267,39.07046082864861,7.436628142666389,31.63383268598222,15.821054307539928,1598,34.45035170989666,23993.91575586038
chronos2-zs,P2,0.85,margin,3363,0.8777876895628903,0.8536178387044815,39.15080147534553,8.147708981212606,31.00309249413293,18.113048666570393,1702,35.26114868965562,23523.273713575607
chronos2-ft-full-short,P2,0.85,margin,3363,0.8620279512340172,0.8424072325368352,39.758156596013016,7.212949041569147,32.54520755444386,15.263494644387027,1559,33.91546780282611,25324.79211611005
chronos2-ft-full-h32,P2,0.85,margin,3363,0.8623253047873922,0.8422400437605633,40.11786042770454,7.109761618825105,33.008098808879446,14.697137252756034,1539,33.79624979668958,25351.658964579008
emp-daily,P2,0.85,margin,3363,0.8426999702646447,0.8020437710412712,42.72654085309453,7.666752868644781,35.05978798444974,16.32888502330344,1572,34.35205411875976,31811.10673521653
gbdt-lean,P2,0.85,margin,3363,0.8537020517395183,0.7534576316783436,48.734056933300444,8.544549736187468,40.189507197112974,20.780546975710912,1861,34.760903224783796,39618.78661099568
always-zero,P2,0.85,margin,3363,0.7133511745465358,0.5269349874870626,67.27452776489245,5.396222977500248,61.87830478739221,0.0,4,29.611416889681834,76020.45
chronos2-ft-full,P3,0.85,margin,3363,0.8765982753493904,0.8514539848988486,39.00193425711171,7.464735327584498,31.53719892952721,16.0,1568,34.49866785608088,23871.0
chronos2-zs,P3,0.85,margin,3363,0.8837347606303896,0.8543227257543482,39.090030921796014,8.171297647933391,30.918733273862617,18.0,1666,35.30494201605709,23410.0
